,AS_distribution_most_pop_ans,AS_entropy_distance_highest_lowest,AS_has_pop_ans_changed,AS_std_distance_highest_lowest,AS_var_distance_highest_lowest,A_above50%,A_distance1-2,A_distance1-last,A_entropy,A_entropy_eliminate,A_num,A_var,A_wasser_uniform,CS_mean_high_low_diff,CS_var_high_low_diff,CS_var_least_pop,CS_var_most_pop,C_above_90,C_above_95,C_above_98,C_distance_mean,C_highest,C_if_highest_pop,C_least_pop,C_lowest,C_mean,C_most_pop,C_std,C_under_15,C_var,HAC,MR,NONE,P_above_80,P_high_con_low_p,P_higher_then_vote,P_highest_mean,P_highest_std,P_highest_var,P_low_con_high_p,P_lower_then_votes,P_lowest_mean,P_lowest_std,P_lowest_var,P_prediction,SP,WC,dataset_id
508,0.00691358,0.334985145,1,6,120,1,31,31,0.432225932,0.432225932,90,961,15.5,0.049333333,0.015237778,0.008944963,0.000389875,0.477777778,0.366666667,0.288888889,0.176333333,1,0,0.612857143,0.18,0.823666667,0.8625,0.202607722,0,0.041049889,1,1,0,0.622222222,0,0,0.768333333,0.224975307,0.050613889,2,90,0.231666667,0.224975307,0.050613889,0,1,1,1
512,0.003209877,0.304416463,1,4,96,1,37,37,0.299959552,0,90,1369,18.5,0.058333333,0.018290667,0.070846914,0.001204461,0.488888889,0.422222222,0.344444444,0.159,1,0,0.58875,0.13,0.841,0.865609756,0.184866619,0.011111111,0.034175667,1,1,0,0.555555556,0,0,0.777111111,0.196989816,0.038804988,1,90,0.222888889,0.196989816,0.038804988,0,1,1,1
513,0.00617284,0.080059007,0,5,35,1,6,6,0.684231765,0.684231765,90,36,3,0.143666667,0.038310778,0.00271756,0.004057465,0.477777778,0.366666667,0.333333333,0.184888889,1,0,0.79974359,0.2,0.815111111,0.826862745,0.207194189,0,0.042929432,1,1,0,0.555555556,0,0,0.501,0.332268466,0.110402333,2,90,0.499,0.332268466,0.110402333,0,1,1,1
514,0.000740741,0.079512748,1,2,32,1,24,24,0.543272781,0.543272781,90,576,12,0.097333333,0.055505667,0.025744358,5.97E-05,0.333333333,0.277777778,0.233333333,0.263777778,1,0,0.442857143,0.06,0.736222222,0.825507246,0.242828599,0.033333333,0.058965728,1,1,0,0.388888889,0,0,0.718111111,0.195066339,0.038050877,1,90,0.281888889,0.195066339,0.038050877,0,1,1,1
515,0.003209877,0.073367463,1,4,32,1,13,13,0.650818076,0.650818076,90,169,6.5,0.039666667,0.025046667,0.005232721,0.000639628,0.266666667,0.188888889,0.111111111,0.277222222,1,0,0.67125,0.01,0.722777778,0.751206897,0.217506208,0.011111111,0.047308951,1,1,0,0.411111111,0,0,0.625,0.268838035,0.072273889,4,90,0.375,0.268838035,0.072273889,0,1,1,1
517,0.00691358,0.243839701,1,6,96,1,23,23,0.556149027,0.556149027,90,529,11.5,0.090666667,0.063093333,0.000908681,0.003466682,0.533333333,0.477777778,0.411111111,0.189777778,1,0,0.789545455,0,0.810222222,0.816911765,0.268100221,0.044444444,0.071877728,1,1,0,0.7,0,0,0.620888889,0.359742638,0.129414765,2,90,0.379111111,0.359742638,0.129414765,0,1,1,1
519,0.002222222,0.150598314,1,3,57,1,30,30,0.450561209,0.450561209,90,900,15,0.036666667,0.013279889,0.004793802,0.001088856,0.333333333,0.222222222,0.155555556,0.238555556,1,0,0.600666667,0.06,0.761444444,0.7936,0.210441658,0.033333333,0.044285691,1,1,0,0.466666667,0,0,0.722888889,0.216493492,0.046869432,3,90,0.277111111,0.216493492,0.046869432,0,1,1,1
520,0.000740741,0.14774444,1,2,48,1,36,36,0.325082973,0,90,1296,18,0.036,0.049378667,0.01014321,0.000186513,0.555555556,0.444444444,0.333333333,0.157777778,1,0,0.484444444,0.15,0.842222222,0.881975309,0.197752807,0.011111111,0.039106173,1,1,0,0.677777778,0,0,0.815,0.174096078,0.030309444,1,90,0.185,0.174096078,0.030309444,0,1,1,1
521,0.015621063,0.205100255,1,6,42,1,9,9,0.653057744,0.653057744,64,81,4.5,0.057142857,0.008163265,0.000442177,0.001983926,0.015625,0.015625,0.015625,0.46875,1,0,0.52173913,0.2,0.53125,0.536585366,0.206817401,0,0.042773438,1,1,0,0.171875,0,0,0.5228125,0.191192547,0.03655459,11,64,0.4771875,0.191192547,0.03655459,0,1,1,2
522,0.013605442,0.272791786,1,6,54,1,12.5,12.5,0.61724177,0.61724177,65,156.25,6.25,0.123809524,0.01015873,0.004056236,0.004235402,0.015384615,0.015384615,0.015384615,0.495384615,1,0,0.47,0.2,0.504615385,0.52,0.224931285,0,0.050594083,1,1,0,0.169230769,0,0,0.564,0.193683326,0.037513231,14,65,0.436,0.193683326,0.037513231,0,1,1,2
523,0.001260239,0.136373962,1,2,30,1,22.5,22.5,0.462036909,0.462036909,69,506.25,11.25,0.026086957,0.028884688,0.038965432,0.001983345,0.072463768,0.072463768,0.072463768,0.414492754,1,0,0.466666667,0.2,0.585507246,0.610526316,0.241538164,0,0.058340685,1,1,0,0.275362319,0,0,0.61942029,0.195758533,0.038321403,14,69,0.38057971,0.195758533,0.038321403,0,1,1,2
527,0.000385802,0.041302107,1,1,11,1,17,17,0.577085396,0.577085396,72,289,8.5,0.166666667,0.02,0.009000617,0.006403605,0.125,0.125,0.125,0.394444444,1,0,0.494736842,0.2,0.605555556,0.645283019,0.247144182,0,0.061080247,1,1,0,0.222222222,0,0,0.6325,0.202654262,0.04106875,15,72,0.3675,0.202654262,0.04106875,0,1,1,2
528,0.000459137,0.039538741,1,1,9,1,14,14,0.605797499,0.605797499,68,196,7,0.127272727,0.009586777,0.001805556,0.002462846,0.117647059,0.117647059,0.117647059,0.438235294,1,0,0.49,0.2,0.561764706,0.591666667,0.261797751,0,0.068538062,1,1,0,0.220588235,0,0,0.584264706,0.211481582,0.044724459,16,68,0.415735294,0.211481582,0.044724459,0,1,1,2
529,0.003213958,0.187645504,1,3,39,1,21,21,0.487924369,0.487924369,68,441,10.5,0.090909091,0.04,0.007800454,0.002224143,0.117647059,0.117647059,0.117647059,0.382352941,1,0,0.553846154,0.2,0.617647059,0.632727273,0.239448617,0,0.05733564,1,1,0,0.205882353,0,0,0.599558824,0.19970886,0.039883629,7,68,0.400441176,0.19970886,0.039883629,0,1,1,2
530,0.008101852,0.211002029,1,5,55,1,15.5,15.5,0.600053351,0.600053351,73,240.25,7.75,0.116666667,0.028333333,0.019286694,0.00076433,0.109589041,0.109589041,0.109589041,0.416438356,1,0,0.438095238,0.2,0.583561644,0.642307692,0.240441203,0,0.057811972,1,1,0,0.191780822,0,0,0.583424658,0.204425149,0.041789642,13,73,0.416575342,0.204425149,0.041789642,0,1,1,2
531,0.0032,0.221633052,1,3,54,1,26,26,0.436162325,0.436162325,76,676,13,0.128,0.014464,0.008780247,0.002439661,0.263157895,0.263157895,0.263157895,0.307894737,1,0,0.566666667,0.2,0.692105263,0.715625,0.252233788,0,0.063621884,1,1,0,0.381578947,0,0,0.683552632,0.206981463,0.042841326,13,76,0.316447368,0.206981463,0.042841326,0,1,1,2
532,0.003780718,0.152466411,1,3,36,1,19.5,19.5,0.523586337,0.523586337,69,380.25,9.75,0.113043478,0.028431002,0.030612446,0.000182116,0.217391304,0.217391304,0.217391304,0.35942029,1,0,0.453333333,0.2,0.64057971,0.692592593,0.265023292,0,0.070237345,1,1,0,0.304347826,0,0,0.632028986,0.220135529,0.048459651,13,69,0.367971014,0.220135529,0.048459651,0,1,1,2
533,0.007330247,0.167453193,1,5,45,1,13.5,13.5,0.623096191,0.623096191,73,182.25,6.75,0.075,0.051875,0.001319112,0.001315186,0.02739726,0.02739726,0.02739726,0.416438356,1,0,0.565217391,0.2,0.583561644,0.592,0.203405054,0,0.041373616,1,1,0,0.109589041,0,0,0.539315068,0.180048158,0.032417339,9,73,0.460684932,0.180048158,0.032417339,0,1,1,2
